date|time|description|vendor|amount
2019-12-05|09:25:30|Grocery shopping|Supermarket|-75.50
2019-11-20|13:15:00|Online order|Online Retailer|-120.00
2020-02-10|10:45:20|Coffee|Cafe|-5.25
2020-01-15|11:30:00|Tech gadgets|Electronics Store|-300.00
2019-10-22|14:20:45|Dining out|Restaurant|-45.00
2020-04-05|08:55:10|Subscription renewal|Streaming Service|-15.99
2019-08-30|12:40:15|Home decor purchase|Home Improvement Store|-90.75
2020-03-12|16:30:00|Medical expenses|Hospital|-250.00
2019-07-18|10:20:30|Fuel refill|Gas Station|-40.00
2020-06-20|09:15:25|Grocery shopping|Supermarket|-80.50
2019-06-24|13:05:00|Restaurant bill|Restaurant|-55.00
2020-05-08|11:50:45|Tech gadgets|Electronics Store|-180.99
2019-05-29|15:10:30|Book purchase|Bookstore|-25.75
2020-07-14|08:35:20|Gift purchase|Gift Shop|-20.00
2019-04-12|14:45:00|Utility bill|Utility Company|-55.00
2020-08-28|10:30:30|Movie tickets|Cinema|-30.00
2019-03-07|09:20:15|Coffee|Cafe|-4.25
2020-09-19|12:15:00|Grocery shopping|Supermarket|-65.50
2019-02-15|13:50:30|Medical expenses|Hospital|-200.00
2020-10-02|14:10:45|Dining out|Restaurant|-40.25
2019-01-10|09:35:20|Tech gadgets|Electronics Store|-150.99
2020-11-28|08:40:00|Online order|Online Retailer|-60.00
2018-12-05|09:25:30|Grocery shopping|Supermarket|-75.50
2018-11-20|13:15:00|Online order|Online Retailer|-120.00
2019-02-10|10:45:20|Coffee|Cafe|-5.25
2019-01-15|11:30:00|Tech gadgets|Electronics Store|-300.00
2018-10-22|14:20:45|Dining out|Restaurant|-45.00
2019-04-05|08:55:10|Subscription renewal|Streaming Service|-15.99
2018-08-30|12:40:15|Home decor purchase|Home Improvement Store|-90.75
2019-03-12|16:30:00|Medical expenses|Hospital|-250.00
2018-07-18|10:20:30|Fuel refill|Gas Station|-40.00
2019-06-20|09:15:25|Grocery shopping|Supermarket|-80.50
2018-06-24|13:05:00|Restaurant bill|Restaurant|-55.00
2019-05-08|11:50:45|Tech gadgets|Electronics Store|-180.99
2018-05-29|15:10:30|Book purchase|Bookstore|-25.75
2019-07-14|08:35:20|Gift purchase|Gift Shop|-20.00
2018-04-12|14:45:00|Utility bill|Utility Company|-55.00
2019-08-28|10:30:30|Movie tickets|Cinema|-30.00
2018-03-07|09:20:15|Coffee|Cafe|-4.25
2019-09-19|12:15:00|Grocery shopping|Supermarket|-65.50
2018-02-15|13:50:30|Medical expenses|Hospital|-200.00
2019-10-02|14:10:45|Dining out|Restaurant|-40.25
2018-01-10|09:35:20|Tech gadgets|Electronics Store|-150.99
2019-11-28|08:40:00|Online order|Online Retailer|-60.00
2023-09-12|08:13:25|Electronics purchase|Electronics Store|-120.50
2022-06-24|12:05:00|Restaurant bill|Restaurant|-75.00
2022-08-08|14:30:45|Book purchase|Bookstore|-25.99
2023-05-29|10:20:30|Grocery shopping|Supermarket|-60.75
2022-07-05|16:45:20|Fuel refill|Gas Station|-40.00
2023-08-19|09:55:10|Movie tickets|Cinema|-30.00
2022-06-02|11:10:00|Tech gadgets|Tech Store|-200.00
2023-08-14|13:25:35|Subscription renewal|Streaming Service|-12.99
2022-07-20|14:50:15|Home decor purchase|Home Improvement Store|-90.25
2023-06-15|17:40:00|Car wash|Car Wash Service|-15.50
2022-08-26|08:20:30|Coffee|Cafe|-4.75
2023-06-05|12:15:00|Medical expenses|Hospital|-300.00
2022-08-09|16:35:20|Gift purchase|Gift Shop|-20.00
2023-07-25|09:45:45|Utility bill|Utility Company|-50.00
2022-06-30|08:30:30|Online subscription|Streaming Service|-9.99
2023-08-02|10:25:15|Clothing purchase|Clothing Store|-80.00
2022-07-12|14:20:00|Dining out|Restaurant|-45.25
2023-07-17|15:35:45|Travel expenses|Travel Agency|-250.00
2022-08-22|11:10:30|Grocery shopping|Supermarket|-70.50
2023-07-08|09:40:00|Gasoline|Gas Station|-35.00
2022-08-14|13:30:25|Online order|Online Retailer|-60.99
2023-06-24|12:05:00|Restaurant bill|Restaurant|-55.00
2022-08-29|10:15:45|Tech gadgets|Tech Store|-150.00
2023-07-12|08:13:25|Electronics purchase|Electronics Store|-120.50
2022-06-24|12:05:00|Restaurant bill|Restaurant|-75.00
2022-08-08|14:30:45|Book purchase|Bookstore|-25.99
2023-05-29|10:20:30|Grocery shopping|Supermarket|-60.75
2022-07-05|16:45:20|Fuel refill|Gas Station|-40.00
2023-08-19|09:55:10|Movie tickets|Cinema|-30.00
